"date","year","mo","casos","t_max","t_med","t_min","hr","precip","oni","enso_state"
2023-01-01,2023,1,NA,28.7045161290323,25.1167741935484,21.948064516129,75.031935483871,36.32,-0.54,"Niña"
2023-02-01,2023,2,NA,29.6217857142857,25.9189285714286,22.5925,70.6171428571429,44.68,-0.29,"Neutral"
2023-03-01,2023,3,NA,31.7406451612903,27.8496774193548,24.3316129032258,65.7416129032258,39.16,-0.02,"Neutral"
2023-04-01,2023,4,NA,33.18,29.3576666666667,25.902,60.3013333333333,1.86,0.27,"Neutral"
2023-05-01,2023,5,NA,33.6848387096774,30.28,27.2125806451613,61.771935483871,39.75,0.57,"Niño"
2023-06-01,2023,6,NA,34.414,30.8676666666667,27.6456666666667,66.2686666666667,64.5,0.84,"Niño"
2023-07-01,2023,7,NA,32.7570967741935,29.7987096774194,27.3045161290323,76.8754838709677,95.13,1.12,"Niño"
2023-08-01,2023,8,NA,32.3687096774194,29.6861290322581,27.4074193548387,77.4183870967742,106.52,1.37,"Niño"
2023-09-01,2023,9,NA,32.255,29.635,27.4523333333333,76.2153333333333,86.89,1.6,"Niño"
2023-10-01,2023,10,NA,31.2103225806452,28.5712903225806,26.3290322580645,76.8561290322581,46.22,1.83,"Niño"
2023-11-01,2023,11,NA,29.6753333333333,26.72,24.4653333333333,78.961,85.97,1.99,"Niño"
2023-12-01,2023,12,NA,27.5170967741935,24.6861290322581,22.348064516129,77.4590322580645,49.07,2.06,"Niño"
2024-01-01,2024,1,NA,28.5732258064516,25.1832258064516,22.4864516129032,76.1096774193548,33.17,1.92,"Niño"
2024-02-01,2024,2,NA,28.2593103448276,24.3379310344828,20.8475862068966,68.5086206896552,16.6,1.62,"Niño"
2024-03-01,2024,3,NA,32.4345161290323,28.4354838709677,25.0812903225806,65.8477419354839,7.26,1.26,"Niño"
2024-04-01,2024,4,NA,33.6253333333333,29.64,25.9013333333333,61.0173333333333,6.26,0.82,"Niño"
2024-05-01,2024,5,NA,36.4051612903226,32.568064516129,28.8638709677419,58.9454838709677,11.14,0.49,"Neutral"
2024-06-01,2024,6,NA,31.9466666666667,29.644,27.7993333333333,79.2506666666667,284.84,0.22,"Neutral"
2024-07-01,2024,7,NA,30.5774193548387,28.681935483871,27.0383870967742,84.7090322580645,74.66,0.08,"Neutral"
2024-08-01,2024,8,NA,31.4625806451613,29.1670967741935,27.2325806451613,80.6416129032258,156.42,-0.07,"Neutral"
2024-09-01,2024,9,NA,31.5563333333333,29.3923333333333,27.6483333333333,80.7396666666667,135.95,-0.17,"Neutral"
2024-10-01,2024,10,NA,29.4793548387097,27.4587096774194,25.8535483870968,82.3790322580645,137.71,-0.21,"Neutral"
2024-11-01,2024,11,NA,29.208,26.6373333333333,24.4593333333333,79.6966666666667,48.26,-0.3,"Neutral"
2024-12-01,2024,12,NA,28.1064516129032,24.658064516129,21.8270967741935,76.5635483870968,16.53,-0.42,"Neutral"
